Common_Name,Scientific_Name,Has_photo,Has_species_account,Slug,Photo_attribution,Status1,Status2,Status3,Status4,State_list,Previous_state_list,Federal_list,IL_SGN,Pif_common_steep_decline,jv_focal_sp,iucn_red_list,road2recovery,SBC,BBS,CBC,BBA,CTAP,eBird,
American Bittern,Botaurus lentiginosus,N,Y,american_bittern,,Migrant,Breeder,,,Endangered,Endangered 1977 - 2020,,Y,,,,,Y,Y,Y,Y,Y,Y,
American Coot,Fulica americana,N,Y,american_coot,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
American Crow,Corvus brachyrhynchos,N,Y,american_crow,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
American Goldfinch,Spinus tristis,N,Y,american_goldfinch,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
American Herring Gull,Larus argentatus,N,Y,herring_gull,,Migrant,Rare Breeder,Winter,,,,,,Y,,,,Y,Y,Y,Y,Y,Y,
American Kestrel,Falco sparverius,N,Y,american_kestrel,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
American Woodcock,Scolopax minor,N,Y,american_woodcock,,Migrant,Breeder,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,
Bank Swallow,Riparia riparia,N,Y,bank_swallow,,Migrant,Breeder,,,,,,,Y,,,,Y,Y,N,Y,Y,Y,
Barn Swallow,Hirundo rustica,N,Y,barn_swallow,,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Barred Owl,Strix varia,N,Y,barred_owl,,Resident,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Bell's Vireo,Vireo bellii,N,Y,bells_vireo,,Migrant,Breeder,,,,,,Y,,,,,Y,Y,N,Y,Y,Y,
Belted Kingfisher,Megaceryle alcyon,N,Y,belted_kingfisher,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Bewick's Wren,Thryomanes bewickii,N,Y,bewicks_wren,,Rare Migrant,Rare Breeder,,,Endangered,"Threatened 1977 - 1984, Endangered 1984 - 2020",,Y,,,,,Y,Y,Y,Y,N,N,
Black Vulture,Coragyps atratus,N,Y,black_vulture,,Migrant,Breeder ,Rare Winter,,,,,,,,,,Y,Y,Y,N,Y,Y,
Black-and-white Warbler,Mniotilta varia,N,Y,black_and_white_warbler,,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Black-billed Cuckoo,Coccyzus erythropthalmus,N,Y,black_billed_cuckoo,,Migrant,Breeder,,,Threatened,Threatened 2009-2020,,Y,,,,Moderate Urgency,Y,Y,N,Y,Y,Y,
Black-crowned Night Heron,Nycticorax nycticorax,N,Y,black_crowned_night_heron,,Migrant,Breeder,,,Endangered,Endangered 1977 - 2020,,Y,,,,,Y,Y,Y,Y,Y,Y,
Black-throated Green Warbler,Setophaga virens,N,Y,black_throated_green_warbler,,Migrant,Rare Breeder,,,,,,,,,,,Y,N,N,Y,Y,Y,
Blue Jay,Cyanocitta cristata,N,Y,blue_jay,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Blue-gray Gnatcatcher,Polioptila caerulea ,N,Y,blue_gray_gnatcatcher,,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Blue-winged Teal,Spatula discors,N,Y,blue_winged_teal,,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,N,Y,
Blue-winged Warbler,Vermivora cyanoptera,N,Y,blue_winged_warbler,,Migrant,Breeder,,,,,,Y,,,,,Y,Y,N,Y,Y,Y,
Bobolink,Dolichonyx oryzivorus,N,Y,bobolink,,Migrant,Breeder,,,,,,Y,,JV Focal Species,Least Concern,High Urgency,Y,Y,N,Y,Y,Y,
Brewer's Blackbird,Euphagus cyanocephalus,N,Y,brewers_blackbird,,Migrant,Rare Breeder,Winter,,,Threatened 1977 - 1994 (peripheral),,,,,Near Threatened,,Y,N,Y,Y,N,N,
Broad-winged Hawk,Buteo platypterus,N,Y,broad_winged_hawk,,Migrant,Breeder,,,,,,Y,,,,,Y,Y,Y,Y,N,Y,
Brown Creeper,Certhia americana,N,Y,brown_creeper,,Migrant,Rare Breeder,Winter,,,"Endangered 1977 - 1984, Threatened 1984 - 1999 (too common)",,,,,,,Y,N,Y,Y,Y,Y,
Brown Thrasher,Toxostoma rufum,N,Y,brown_thrasher,,Migrant,Breeder,Rare Winter,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,
Brown-headed Cowbird,Molothrus ater,N,Y,brown_headed_cowbird,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Canada Goose,Branta canadensis,N,Y,canada_goose,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Canada Warbler,Cardellina canadensis,N,Y,canada_warbler,,Migrant,,,,,,,,,JV Focal Species,,Moderate Urgency,Y,N,N,Y,Y,Y,
Carolina Chickadee,Poecile carolinensis,N,Y,carolina_chickadee,,Resident,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Cedar Waxwing,Bombycilla cedrorum,N,Y,cedar_waxwing,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Cerulean Warbler,Setophaga cerulea,N,Y,cerulean_warbler,,Migrant,Breeder,,,Threatened,Threatened (2009 - 2020),,Y,,JV Focal Species,Near Threatened,Moderate Urgency,Y,Y,N,Y,Y,Y,
Chimney Swift,Chaetura pelagica,N,Y,chimney_swift,,Migrant,Breeder,,,,,,Y,Y,JV Focal Species,Vulnerable,High Urgency,Y,Y,N,Y,Y,Y,
Chipping Sparrow,Spizella passerina,N,Y,chipping_sparrow,,Migrant,Rare Breeder,Rare Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Chuck-will's-widow,Antrostomus carolinensis,N,Y,chuck_will's_widow,,Migrant,Breeder,,,Threatened,Threatened 2015-2020,,Y,,,Near Threatened,,Y,Y,N,Y,N,Y,
Clay-colored Sparrow,Spizella pallida,N,Y,clay_colored_sparrow,,Migrant,Rare Breeder,,,,Endangered 1989 - 1994 (peripheral),,,,,,,Y,Y,Y,Y,N,Y,
Cliff Swallow,Petrochelidon pyrrhonota,N,Y,cliff_swallow,,Migrant,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
Common Gallinule,Gallinula galeata,N,Y,common_gallinule,,Migrant,Rare Breeder,,,Endangered,"Threatened 1977 - 2004, Endangered 2004-2020",,Y,,,,,Y,N,Y,Y,Y,Y,
Common Grackle,Quiscalus quiscula,N,Y,common_grackle,,Migrant,Breeder,Winter,,,,,,Y,,Near Threatened,,Y,Y,Y,Y,Y,Y,
Common Tern,Sterna hirundo,N,Y,common_tern,,Migrant,Rare Breeder,,,Endangered,Endangered 1977 - 2020,,Y,,,,,Y,N,N,Y,Y,Y,
Dickcissel,Spiza americana,N,Y,dickcissel,,Migrant,Breeder,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,
Double-crested Cormorant,Phalacrocorax auritus,N,Y,double_crested_cormorant,,Migrant,Breeder,Winter,,,"Endangered 1977 - 1989, Threatened 1989 - 1999 (too common)",,,,,,,Y,Y,Y,Y,Y,Y,
Eastern Meadowlark,Sturnella magna,N,Y,eastern_meadowlark,,Migrant,Breeder,Rare Winter,,,,,Y,Y,JV Focal Species,Near Threatened,,Y,Y,Y,Y,Y,Y,
Eastern Phoebe,Sayornis phoebe,N,Y,eastern_phoebe,,Migrant,Breeder,Rare Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Eastern Screech-Owl,Megascops asio,N,Y,eastern_screech_owl,,Resident,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Eastern Towhee,Pipilo erythrophthalmus,N,Y,eastern_towhee,,Migrant,Breeder,Rare Winter,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,
Eastern Warbling Vireo,Vireo gilvus,N,Y,warbling_vireo,,Migrant,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
Eastern Whip-poor-will,Antrostomus vociferus,N,Y,eastern_whip_poor_will,,Migrant,Breeder,,,,,,Y,,JV Focal Species,Near Threatened,Moderate Urgency,Y,Y,N,Y,Y,Y,
Eurasian Tree Sparrow,Passer montanus,N,Y,eurasian_tree_sparrow,,Resident,Introduced,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Field Sparrow,Spizella pusilla,N,Y,field_sparrow,,Migrant,Breeder,Winter,,,,,Y,Y,,,,Y,Y,Y,Y,Y,Y,
Fish Crow,Corvus ossifragus,N,Y,fish_crow,,Migrant,Breeder,Rare Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Forster's Tern,Sterna forsteri,N,Y,forsters_tern,,Migrant,Rare Breeder,,,Endangered,Endangered 1977 - 2020,,Y,,,,,Y,N,Y,Y,Y,Y,
Golden-crowned Kinglet,Regulus satrapa,N,Y,golden_crowned_kinglet,,Migrant,Rare Breeder,Winter,,,,,,,,,,Y,N,Y,Y,N,Y,
Golden-winged Warbler,Vermivora chrysoptera,N,Y,golden_winged_warbler,,Migrant,,,,,,,Y,,JV Focal Species,Near Threatened,High Urgency,Y,N,N,Y,Y,Y,
Grasshopper Sparrow,Ammodramus savannarum,N,Y,grasshopper_sparrow,,Migrant,Breeder,,,,,,Y,Y,,,,Y,Y,Y,Y,Y,Y,
Gray Catbird,Dumetella carolinensis,N,Y,gray_catbird,,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Gray Partridge,Perdix perdix,N,Y,gray_partridge,,Resident,Introduced,,,,,,,,,,,Y,Y,Y,Y,N,N,
Great Blue Heron,Ardea herodias,N,Y,great_blue_heron,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Great Crested Flycatcher,Myiarchus crinitus,N,Y,great_crested_flycatcher,,Migrant,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,N,
Great Egret,Ardea alba,N,Y,great_egret,,Migrant,Breeder,,,,"Endangered 1977 - 1989, Threatened 1989 - 1999 (too common)",,,,,,,Y,Y,Y,Y,Y,Y,
Great Horned Owl,Bubo virginianus,N,Y,great_horned_owl,,Resident,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Greater Prairie-Chicken,Tympanuchus cupido,N,Y,greater_prairie_chicken,,Resident,,,,Endangered,Endangered 1977 - 2020,,Y,,,,,Y,N,Y,Y,N,Y,
Henslow's Sparrow,Centronyx henslowii,N,Y,henslows_sparrow,,Migrant,Breeder,,,,"Endangered 1977 - 2004, Threatened 2004-2009 (recovered)",,Y,,JV Focal Species,Least Concern,Moderate Urgency,Y,Y,Y,Y,Y,Y,
Hooded Merganser,Lophodytes cucullatus,N,Y,hooded_merganser,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Hooded Warbler,Setophaga citrina,N,Y,hooded_warbler,,Migrant,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
Horned Lark,Eremophila alpestris,N,Y,horned_lark,,Migrant,Breeder,Winter,,,,,,Y,,,,Y,Y,Y,Y,Y,Y,
House Finch,Haemorhous mexicanus,N,Y,house_finch,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Kentucky Warbler,Geothlypis formosa,N,Y,kentucky_warbler,,Migrant,Breeder,,,,,,Y,,,,,Y,Y,N,Y,Y,Y,
King Rail,Rallus elegans,N,Y,king_rail,,Rare Migrant,Rare Breeder,,,Endangered,"Threatened 1994-1999, Endangered 1999 - 2020",,Y,,,Near Threatened,Very High Urgency,Y,N,Y,Y,Y,N,sensitive
Lark Sparrow,Chondestes grammacus,N,Y,lark_sparrow,,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Least Bittern,Ixobrychus exilis,N,Y,least_bittern,,Migrant,Breeder,,,Threatened,"Endangered 1989 - 1994, Threatened 1994 - 2020",,Y,,,,,Y,Y,N,Y,Y,Y,
Least Flycatcher,Empidonax minimus,N,Y,least_flycatcher,,Migrant,Rare Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Little Blue Heron,Egretta caerulea,N,Y,little_blue_heron,,Migrant ,Rare Breeder,,,Endangered,Endangered 1977 - 2020,,Y,,,,,Y,Y,Y,Y,Y,Y,
Loggerhead Shrike,Lanius ludovicianus,N,Y,loggerhead_shrike,,Migrant ,Breeder,Rare Winter,,Endangered,"Threatened 1977 - 2004, Endangered 2004 - 2020",,Y,Y,,Near Threatened,,Y,Y,Y,Y,Y,Y,
Louisiana Waterthrush,Parkesia motacilla,N,Y,louisiana_waterthrush,,Migrant,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
Mallard,Anas platyrhynchos,N,Y,mallard,,Migrant ,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Marsh Wren,Cistothorus palustris,N,Y,marsh_wren,,Migrant,Breeder,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,
Mississippi Kite,Ictinia mississippiensis,N,Y,mississippi_kite,,Migrant,Breeder,,,,"Endangered 1977-2004, Threatened 2004-2020 (too common)",,Y,,,,,Y,Y,Y,Y,Y,Y,
Monk Parakeet,Myiopsitta monachus,N,Y,monk_parakeet,,Resident,Introduced,,,,,,,,,,,Y,Y,Y,Y,N,N,
Mourning Warbler,Geothlypis philadelphia,N,Y,mourning_warbler,,Migrant,,,,,,,,,,,Moderate Urgency,Y,N,N,Y,Y,Y,
Mute Swan,Cygnus olor,N,Y,mute_swan,,Migrant ,Breeder,Winter,Introduced,,,,,,,,,Y,Y,Y,Y,Y,Y,
Northern Cardinal,Cardinalis cardinalis,N,Y,northern_cardinal,,Resident,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Northern Harrier,Circus hudsonius,N,Y,northern_harrier,,Migrant,Rare Breeder,Winter,,Endangered,Endangered 1977 - 2020,,Y,,,,,Y,Y,Y,Y,Y,Y,
Northern House Wren,Troglodytes aedon,N,Y,house_wren,,Migrant,Breeder,Rare Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Northern Mockingbird,Mimus polyglottos,N,Y,northern_mockingbird,,Migrant ,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Northern Parula,Setophaga americana,N,Y,northern_parula,,Migrant ,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Northern Pintail,Anas acuta,N,Y,northern_pintail,,Migrant,Rare Breeder,Winter,,,,,,Y,,,,Y,N,Y,Y,Y,Y,
Northern Rough-winged Swallow,Stelgidopteryx serripennis,N,Y,northern_rough_winged_swallow,,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Northern Saw-whet Owl,Aegolius acadicus,N,Y,northern_saw_whet_owl,,Migrant,Rare Breeder,Winter,,,,,,,,,,N,N,Y,N,N,Y,
Northern Shoveler,Spatula clypeata,N,Y,northern_shoveler,,Migrant,Rare Breeder,Winter,,,,,,,,,,Y,N,Y,Y,Y,Y,
Orchard Oriole,Icterus spurius,N,Y,orchard_oriole,,Migrant ,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
Ovenbird,Seiurus aurocapilla,N,Y,ovenbird,,Migrant ,Breeder,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,
Peregrine Falcon,Falco peregrinus,N,Y,peregrine_falcon,,Migrant ,Breeder,Winter,,,"Endangered 1977 - 1999, Threatened 1999 - 2015 (recovered)",,Y,,,,,Y,N,Y,Y,Y,Y,
Pied-billed Grebe,Podilymbus podiceps,N,Y,pied_billed_grebe,,Migrant ,Breeder,Winter,,,"Endangered 1989 -1994, Threatened 1994 - 2004 (too common)",,Y,,,,,Y,Y,Y,Y,Y,Y,
Pine Warbler,Setophaga pinus,N,Y,pine_warbler,,Migrant ,Breeder,Rare Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Prairie Warbler,Setophaga discolor,N,Y,prairie_warbler,,Migrant,Breeder,,,,,,Y,,,,Moderate Urgency,Y,Y,N,Y,Y,Y,
Red Crossbill,Loxia curvirostra,N,Y,red_crossbill,,Migrant,Rare Breeder,Winter,,,,,,,,,,Y,N,Y,Y,N,N,
